Attribute Name,AVP Code,Data Type
Access-Network-Charging-Identifier-Gx,1022,Grouped
Allocation-Retention-Priority,1034,Grouped
AN-GW-Address,1050,Address
APN-Aggregate-Max-Bitrate-DL,1040,Unsigned32
APN-Aggregate-Max-Bitrate-UL,1041,Unsigned32
Bearer-Control-Mode,1023,Enumerated
Bearer-Identifier,1020,OctetString
Bearer-Operation,1021,Enumerated
Bearer-Usage,1000,Enumerated
Charging-Rule-Install,1001,Grouped
Charging-Rule-Remove,1002,Grouped
Charging-Rule-Definition,1003,Grouped
Charging-Rule-Base-Name,1004,UTF8String
Charging-Rule-Name,1005,OctetString
Charging-Rule-Report,1018,Grouped
Charging-Correlation-Indicator,1073,Enumerated
CoA-IP-Address,1035,Address
CoA-Information,1039,Grouped
CSG-Information-Reporting,1071,Enumerated
Default-EPS-Bearer-QoS,1049,Grouped
Event-Report-Indication,1033,Grouped
Event-Trigger,1006,Enumerated
Flow-Direction,1072,Enumerated
Flow-Information,1058,Grouped
Flow-Label,1057,OctetString
IP-CAN-Type,1027,Enumerated
Guaranteed-Bitrate-DL,1025,Unsigned32
Guaranteed-Bitrate-UL,1026,Unsigned32
Metering-Method,1007,Enumerated
Monitoring-Key,1066,OctetString
Network-Request-Support,1024,Enumerated
Offline,1008,Enumerated
Online,1009,Enumerated
Packet-Filter-Content,1059,IPFilterRule
Packet-Filter-Identifier,1060,OctetString
Packet-Filter-Information,1061,Grouped
Packet-Filter-Operation,1062,Enumerated
Packet-Filter-Usage,1072,Enumerated
PDN-Connection-ID,1065,OctetString
Precedence,1010,Unsigned32
Pre-emption-Capability,1047,Enumerated
Pre-emption-Vulnerability,1048,Enumerated
Priority-Level,1046,Unsigned32
Reporting-Level,1011,Enumerated
PCC-Rule-Status,1019,Enumerated
Session-Release-Cause,1045,Enumerated
QoS-Class-Identifier,1028,Enumerated
QoS-Information,1016,Grouped
QoS-Negotiation ,1029,Enumerated
Qos-Upgrade,1030,Enumerated
Resource-Allocation-Notification,1063,Enumerated
Rule-Failure-Code,1031,Enumerated
Security-Parameter-Index,1056,OctetString
TFT-Filter,1012,IPFilterRule
TFT-Packet-Filter-Information,1013,Grouped
ToS-Traffic-Class,1014,OctetString
Tunnel-Header-Filter,1036,IPFilterRule
Tunnel-Header-Length,1037,Unsigned32
Tunnel-Information,1038,Grouped
RAT-Type,1032,Enumerated
Revalidation-Time,1042,Time
Rule-Activation-Time,1043,Time
Usage-Monitoring-Information,1067,Grouped
Rule-DeActivation-Time,1044,Time
Usage-Monitoring-Level,1068,Enumarated
Usage-Monitoring-Report,1069,Enumerated
Usage-Monitoring-Support,1070,Enumerated
